"Home","Beranda"
"Người tìm việc","Bagi Pencari Kerja "
"Nhà tuyển dụng","Bagi Perusahaan"
"Giới thiệu công ty","Profil Perusahaan"
"Việc Làm Tốt Nhất Cho Người Việt","Pekerjaan-pekerjaan terbaik bagi orang Indonesia "
"Tạo hồ sơ trên Iconic","Membuat CV di ICONIC"
"Đăng nhập","Masuk"
"Đăng ký","Registrasi"
"Đăng xuất","Keluar"
"Xin chào, %s","Selamat Datang, %s"
"KHI BẠN ĐĂNG KÝ TÀI KHOẢN TRÊN ICONIC, BẠN SẼ ĐƯỢC <span>TƯ VẤN BỞI CÁC CHUYÊN VIÊN CỦA CHÚNG TÔI</span><br />CŨNG NHƯ NHẬN ĐƯỢC CÁC THÔNG TIN VỀ VIỆC LÀM <span>HOÀN TOÀN MIỄN PHÍ</span>","SAAT ANDA REGISTRASI DAN MEMBUAT AKUN DI ICONIC, ANDA AKAN <span>MENDAPAT KONSULTASI DARI KONSULTAN KAMI </span><br />DAN JUGA MENDAPATKAN INFORMASI PEKERJAAN<span>BEBAS BIAYA</span>"
"Gửi email cho chúng tôi","Kirim email kepada kami "
"Tiêu đề","Judul"
"Nhập nội dung","Pesan"
"Gửi","kirim"
"<strong>Chi Nhánh Hồ Chí Minh:</strong><br />Tầng 4 Avenis Building, 145 Điện Biên Phủ, Quận 1, Hồ Chí Minh<br />Phone: (84-8) 3821-5122","<strong>Kantor Indonesia:</strong><br />GRAND SLIPI TOWER Office Building, 16th Fl. JI. S.Parman Kav.22-24,Slipi-Jakarta Barat<br />Phone: 021-29022273"
"CÁC WEBSITE KHÁC CỦA ICONIC","SITUS ICONIC LAINNYA"
"(Dành cho người Nhật tại Việt Nam)","(bagi Orang Jepang di Vietnam)"
"(Dành cho người Việt tại Nhật Bản)","(Bagi Orang Vietnam di Jepang)"
"(Indonesia)","(Indonesia)"
"Sơ đồ trang","Peta Situs"
"Chính sách bảo mật","Kebijakan Privasi"
"Hiển thị <span>%s - %s</span> trong <span>%s</span> việc làm","Tampilkan <span>%s - %s</span> di <span>%s</span> pekerjaan"
"Xin chúc mừng !!","Selamat!!"
"Bạn đã tạo hồ sơ thành công tại","Anda berhasil membuat CV di"
"Các chuyên viên Iconic sẽ duyệt hồ sơ của bạn, trước khi giới thiệu đến bạn những công việc phù hợp.","konsultan ICONIC akan memeriksa CV anda, sebelum memperkenalkan pekerjaan yang sesuai."
"Trang web sẽ tự động trở về Home sau <span id=""countdown"">5</span> giây nữa.","Anda akan diteruskan ke halaman situs dalam<span id=""countdown"">5</span> detik."
"Ứng tuyển","daftar"
"Trở về","kembali"
"Xin chúc mừng!","Selamat!"
"Bạn đã ứng tuyển thành công.","Anda berhasil mendaftar."
"Các công việc cùng ngành nghề","Pekerjaan di industri yang sama "
"Xem thêm","Lihat lebih detail "
"Tạo hồ sơ","Buat CV "
"Thông tin chung","Informasi Umum"
"Họ","Nama Belakang"
"Tên","Nama Pertama"
"Ngày","Hari"
"Tháng","Bulan"
"Năm","Tahun"
"Quốc tịch","Kebangsaan"
"Việt Nam","Vietnam"
"Nước ngoài","Orang Asing"
"Địa chỉ cư trú","Alamat"
"Malaysia","Malaysia"
"Nhật Bản","Jepang"
"Di động*","Telepon*"
"Mức lương hiện tại","Gaji saat ini"
"Tiền tệ","Mata Uang"
"Công việc mong muốn","Pekerjaan yang diharapkan "
"Mức lương mong muốn","Gaji yang diharapkan "
"Ngành nghề","Industri"
"Chức năng","Fungsi"
"Địa điểm","Lokasi"
"Cấp độ công việc","Tingkat Pekerjaan"
"Mới Tốt Nghiệp/Chưa Có Kinh Nghiệm","Lulusan Baru / Baru mulai bekerja  "
"Có Kinh Nghiệm","Pengalaman"
"Trưởng Nhóm/Giám Sát/Trợ Lý","Team Leader/Supervisor/Asisten Manajer"
"Quản Lý","Manajer"
"Quản Lý Cấp Cao","Manajemen Eksekutif"
"Trình độ học vấn","Pendidikan"
"Tên trường","Nama Sekolah"
"Chuyên ngành","Jurusan"
"Bằng cấp","Tingkat"
"Trung cấp","Diploma"
"Cao đẳng","College"
"Đại học","Bachelor (S1) "
"Thạc sĩ","Master (S2) "
"Tiến sĩ","Doctor (S3) "
"Năm tốt nghiệp","Tahun Kelulusan "
"Kinh nghiệm","Pengalaman"
"Tôi vừa mới ra trường, chưa có kinh nghiệm làm việc","Saya baru saja lulus, belum punya pengalaman"
"Số năm kinh nghiệm","Jumlah tahun pengalaman kerja"
"Chi tiết công việc","Detail Pekerjaan "
"Ngôn ngữ","Bahasa"
"Tiếng Anh","Inggris"
"Cấp độ","Tingkat"
"Bản ngữ","Native"
"Cao cấp","Advanced"
"Trung cấp","Intermediate"
"Sơ cấp","Beginner"
"Không","Tidak"
"Tiếng Nhật","Orang Jepang"
"Tiếng Việt","Orang Vietnam"
"Thêm trình độ ngoại ngữ khác","Tambahkan kemampuan bahasa Lainnya"
"Kỹ năng","Kemampuan"
"Tôi muốn tìm việc/chuyển việc ngay bây giờ","Saya ingin mencari/mengganti pekerjaan sekarang "
